x,y,cadmium,copper,lead,zinc,elev,dist,om,ffreq,soil,lime,landuse,dist.m,cluster_num
181072,333611,2.4595888418037104,4.442651256490317,5.700443573390687,6.92951677076365,7.909,0.00135803,13.6,1,1,1,Ah,50,0
181025,333558,2.151762203259462,4.394449154672439,5.6240175061873385,7.039660349862076,6.983,0.0122243,14.0,1,1,1,Ah,30,0
181165,333537,1.8718021769015913,4.219507705176107,5.293304824724492,6.461468176353717,7.8,0.103029,13.0,1,1,1,Ah,150,0
181298,333484,0.9555114450274363,4.394449154672439,4.7535901911063645,5.54907608489522,7.655,0.190094,8.0,1,2,0,Ga,270,0
181307,333330,1.0296194171811581,3.871201010907891,4.762173934797756,5.594711379601839,7.48,0.27709,8.7,1,2,0,Ah,380,0
181390,333260,1.0986122886681098,4.110873864173311,4.919980925828125,5.638354669333745,7.791,0.364067,7.8,1,2,0,Ga,470,0
181165,333370,1.1631508098056809,3.4339872044851463,4.882801922586371,5.846438775057725,8.217,0.190094,9.2,1,2,0,Ah,240,0
181027,333363,1.0296194171811581,3.367295829986474,5.0106352940962555,6.0063531596017325,8.49,0.0921516,9.5,1,1,0,Ab,120,0
181060,333231,0.8754687373538999,3.6109179126442243,4.890349128221754,5.849324779946859,8.668,0.184614,10.6,1,1,0,Ab,240,0
181232,333168,0.47000362924573563,3.1780538303479458,4.382026634673881,5.209486152841421,9.049,0.309702,6.3,1,2,0,W,420,0
181191,333115,0.3364722366212129,3.2188758248682006,4.454347296253507,5.241747015059643,9.015,0.315116,6.4,1,2,0,Fh,400,0
181032,333031,0.5877866649021191,3.2188758248682006,4.574710978503383,5.5254529391317835,9.073,0.228123,9.0,1,1,0,Ag,300,0
180874,333339,2.4159137783010487,4.532599493153256,5.652489180268651,6.999422467507961,7.32,0.0,15.4,1,1,1,W,20,0
180969,333252,0.9162907318741551,3.4339872044851463,5.209486152841421,6.222576268071369,8.815,0.113932,8.4,1,1,0,Ah,130,0
181011,333161,0.6931471805599453,3.295836866004329,4.867534450455582,5.786897381366708,8.937,0.168336,9.1,1,1,0,Ah,220,0
180830,333246,2.2512917986064953,4.454347296253507,5.480638923341991,6.939253946041508,7.702,0.0,16.2,1,1,1,W,10,0
180763,333104,1.9459101490553132,4.30406509320417,4.890349128221754,6.406879986069314,7.16,0.0122243,16.0,1,1,1,W,10,0
180694,332972,1.9600947840472698,4.23410650459726,4.997212273764115,6.566672429803241,7.1,0.0122243,16.0,1,1,1,W,10,4
180625,332847,2.163323025660538,4.23410650459726,5.332718793265369,6.5998704992128365,7.02,0.0,13.7,1,1,1,W,10,4
180555,332707,2.5572273113676265,4.553876891600541,5.648974238161206,6.9584483932976555,6.86,0.0,14.8,1,1,1,,10,4
180642,332708,1.7047480922384253,3.970291913552122,5.267858159063328,6.511745329644728,8.908,0.0703468,10.2,1,1,1,Am,80,4
