x,y,z
94,20,-0.39444438053747594
82,37,-2.283663062708473
43,13,-0.5462130280740465
78,42,-3.681383697834789
50,28,0.5045382784070095
20,74,-1.5041741384342935
71,88,1.3503808134843678
7,9,-1.1638796197023304
24,69,-0.34051346127283
77,28,-1.1920728498239048
71,17,-1.2669163335465252
29,74,-0.7427182051736556
49,59,0.48750491266151463
100,12,-2.962001584534514
5,52,-1.9117585922891978
16,82,-0.8417505208808288
16,17,-1.4281827604814472
88,58,0.7782599543685997
52,49,0.1786421715317022
63,85,0.7522280061388416
26,13,-0.7991250342467555
19,36,0.6432892058776345
36,79,-1.5280696290326905
57,97,-0.8259657245833522
62,99,-0.06959396015894331
32,30,0.8022020533234546
39,59,-0.05292820972410184
29,90,-1.0204864471818211
99,32,-0.6091409530661445
44,6,0.22039696575581752
43,58,0.4599801140437183
85,39,-2.31679305625176
70,54,0.5223039952706272
91,79,-0.3759977848107796
72,73,0.7416405213029846
26,14,-0.7804675204942965
74,27,-1.0553595338690305
95,81,-0.7486241434516918
57,64,1.7616136632222261
91,89,0.04677627985012556
16,15,-1.7478697007635944
43,64,0.16499520258020345
51,23,0.7437586449805585
48,15,-0.7098517053077216
44,62,0.6186416952805267
89,87,-0.16867483733838862
75,44,-3.514204440866991
28,60,-2.7366690143837133
40,15,-1.1281865226107042
93,11,-3.118152626954697
15,63,-1.2690922003864293
88,29,-0.18836588223815826
2,23,0.6799045629833986
46,96,0.21739536724147307
65,3,-1.4592660391212884
88,37,-1.107244883929112
65,95,0.2275609725399672
41,7,-0.2496356070766711
25,80,-1.1211940215729022
21,27,-0.09661807637216241
91,12,-2.406230668399388
32,81,-1.3500805459402252
65,83,0.5888676370398311
72,27,-0.9654962013539982
31,80,-1.456316317242763
34,77,-1.5715611436569268
75,52,-0.9936717510754695
83,57,-0.3972504171528985
53,54,0.9579444554514525
5,48,-0.9110466214925685
63,37,-1.668719852071336
52,88,0.30155665085569183
52,80,-0.11393389488718508
88,59,0.9498500062624038
82,40,-2.8630741280292114
88,97,-0.5724965644599087
16,39,0.3509623844845141
50,30,0.30712552582481484
94,10,-3.2346378326811025
32,38,0.4552089340350225
44,24,-0.7574018163971681
49,69,1.2356342827899252
80,28,-1.0178539036303835
44,97,0.04065055111399368
9,72,-1.5862874790244033
62,83,0.713159046633232
55,87,1.0014195983263146
73,88,0.9887212215545849
74,77,0.8412936419422302
41,10,-0.47373270525578615
80,70,0.1989277467301741
84,91,0.4362331855173341
19,41,0.008772448868853477
74,95,0.21200274251186702
53,77,-0.44142991018893873
77,71,0.3737558041580218
26,80,-1.3080066480679053
60,29,-0.8604750005960811
87,66,0.4825254242707143
49,26,0.2699907908494049
58,7,-1.7509555878489427
83,34,-1.9690554078818678
98,71,-0.3072215482324351
19,33,0.8195543425614512
69,37,-0.9869471073868279
77,16,-0.3032695851580103
17,5,-1.2189964119667087
12,3,-0.27257057240043464
36,10,-0.39356133696987433
60,92,0.8447638349149216
87,26,0.04083935755339871
42,88,-0.6016648813493206
95,68,-0.6153052578521497
26,73,0.10972407867717388
75,87,0.4837705304898816
8,72,-1.5017658843299335
72,38,-2.1548409371968544
91,53,-0.29640401021767016
